what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416917690797
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917695207
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917696369
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917696797
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917697285
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917697837
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917698220
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917698475
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917698836
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1416917699125
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1416917703849
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416917705503
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416917714398
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416917720102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1416917722657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1416917723245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917725623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917818047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917818139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917819186
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1416917824042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917846746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917847742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917848148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917854041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917854135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917855141
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1416917857879
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416917861737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917864122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917899118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1416917899147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1416917899147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416917900083
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416917910711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416917912601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918130882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416918130974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918132196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918143314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416918143357
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416918143357
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1416918145593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918163704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918247562
activated,view,net.confex,0.9.3,"net.confex.view.navigationView",1416918251350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918251443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416918252299
executed,command,,,"net.confex.action.SaveConfexViewAction",1416918252309
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1416918263445
